train_loss,epoch,step,val_loss,test_loss
1.1020386219024658,0,49,,
0.5803728699684143,0,99,,
0.4291894733905792,0,149,,
0.38889938592910767,0,199,,
0.5078959465026855,0,249,,
0.4719255566596985,0,299,,
0.27569514513015747,0,349,,
0.36604979634284973,0,399,,
0.4459226727485657,0,449,,
0.48396316170692444,0,499,,
0.19547179341316223,0,549,,
0.3323504328727722,0,599,,
0.21607376635074615,0,649,,
0.1982952058315277,0,699,,
0.4025993347167969,0,749,,
,0,781,0.25952112674713135,
0.16488459706306458,1,799,,
0.10962307453155518,1,849,,
0.15800848603248596,1,899,,
0.27954262495040894,1,949,,
0.1787567138671875,1,999,,
0.13721038401126862,1,1049,,
0.19319157302379608,1,1099,,
0.17684894800186157,1,1149,,
0.19526124000549316,1,1199,,
0.10394244641065598,1,1249,,
0.14823970198631287,1,1299,,
0.2836572229862213,1,1349,,
0.10390818119049072,1,1399,,
0.13815191388130188,1,1449,,
0.22312796115875244,1,1499,,
0.2056751251220703,1,1549,,
,1,1563,0.20485037565231323,
0.20189376175403595,2,1599,,
0.18365716934204102,2,1649,,
0.178414985537529,2,1699,,
0.188227578997612,2,1749,,
0.25795677304267883,2,1799,,
0.13135799765586853,2,1849,,
0.33441048860549927,2,1899,,
0.1407022476196289,2,1949,,
0.14752644300460815,2,1999,,
0.16454772651195526,2,2049,,
0.06609580665826797,2,2099,,
0.08194228261709213,2,2149,,
0.09346501529216766,2,2199,,
0.07743111997842789,2,2249,,
0.1280764788389206,2,2299,,
,2,2345,0.17680798470973969,
,3,2346,0.17680798470973969,
,3,2346,,0.1731710582971573
