train_loss,epoch,step,val_loss,test_loss
1.005676507949829,0,49,,
0.7354741096496582,0,99,,
0.7203669548034668,0,149,,
0.2523539662361145,0,199,,
0.2837415933609009,0,249,,
0.40242645144462585,0,299,,
0.4283439815044403,0,349,,
0.23044712841510773,0,399,,
0.21398210525512695,0,449,,
0.24045398831367493,0,499,,
0.2379712164402008,0,549,,
0.3806273639202118,0,599,,
0.34591320157051086,0,649,,
0.2861611843109131,0,699,,
0.1873611956834793,0,749,,
,0,781,0.26917797327041626,
0.15187707543373108,1,799,,
0.2228638380765915,1,849,,
0.38441896438598633,1,899,,
0.13838866353034973,1,949,,
0.25465959310531616,1,999,,
0.46941864490509033,1,1049,,
0.2738221287727356,1,1099,,
0.1281394213438034,1,1149,,
0.20256492495536804,1,1199,,
0.23852069675922394,1,1249,,
0.24401122331619263,1,1299,,
0.2956655025482178,1,1349,,
0.2625274062156677,1,1399,,
0.15496301651000977,1,1449,,
0.13800713419914246,1,1499,,
0.17626270651817322,1,1549,,
,1,1563,0.2101535201072693,
0.3320077657699585,2,1599,,
0.09706816077232361,2,1649,,
0.24801580607891083,2,1699,,
0.17064830660820007,2,1749,,
0.1748916208744049,2,1799,,
0.09213186800479889,2,1849,,
0.2814641296863556,2,1899,,
0.1150703877210617,2,1949,,
0.12532708048820496,2,1999,,
0.2842521369457245,2,2049,,
0.21179817616939545,2,2099,,
0.18198837339878082,2,2149,,
0.09149320423603058,2,2199,,
0.13392959535121918,2,2249,,
0.1848897635936737,2,2299,,
,2,2345,0.177257239818573,
,3,2346,0.177257239818573,
,3,2346,,0.15869152545928955
